Index,Name,Unprescaled,335b_AllMB,335b_AllMB_UPC40k
0,L1_AlwaysTrue ,1,0,0
1,L1_ZeroBias ,1,73,753
2,L1_ZeroBias_copy ,1,73,753
3,L1_BPTX_AND_Ref1_VME ,1,0,0
4,L1_BPTX_AND_Ref3_VME ,1,0,0
5,L1_BPTX_AND_Ref4_VME ,1,0,0
6,L1_BPTX_BeamGas_B1_VME ,1,0,0
7,L1_BPTX_BeamGas_B2_VME ,1,0,0
8,L1_BPTX_BeamGas_Ref1_VME ,1,0,0
9,L1_BPTX_BeamGas_Ref2_VME ,1,0,0
10,L1_BPTX_NotOR_VME ,1,0,0
11,L1_BPTX_OR_Ref3_VME ,1,0,0
12,L1_BPTX_OR_Ref4_VME ,1,0,0
13,L1_BPTX_RefAND_VME ,1,0,0
14,L1_BptxMinus ,1,0,0
15,L1_BptxMinus_NotBptxPlus ,1,0,0
16,L1_BptxOR ,1,0,0
17,L1_BptxPlus ,1,0,0
18,L1_BptxPlus_NotBptxMinus ,1,0,0
19,L1_BptxXOR ,1,0,0
20,L1_NotBptxOR ,1,2640551,2640551
21,L1_FirstBunchAfterTrain ,1,0,0
22,L1_FirstBunchBeforeTrain ,1,0,0
23,L1_FirstBunchInTrain ,1,0,0
24,L1_IsolatedBunch ,1,0,0
25,L1_LastBunchInTrain ,1,0,0
26,L1_SecondBunchInTrain ,1,0,0
27,L1_SecondLastBunchInTrain ,1,0,0
28,L1_UnpairedBunchBptxMinus ,1,143947,143947
29,L1_UnpairedBunchBptxPlus ,1,143947,143947
30,L1_FirstCollisionInTrain ,1,0,0
31,L1_LastCollisionInTrain ,1,0,0
32,L1_FirstCollisionInOrbit ,1,1123,1123
33,L1_FirstCollisionInOrbit_Centrality30_100_BptxAND ,1,1123,1123
34,L1_FirstCollisionInOrbit_Centrality50_100_BptxAND ,1,0,0
35,L1_ETMHF100 ,1,0,0
36,L1_ETT2000 ,1,0,0
37,L1_HTT120er ,1,0,0
38,L1_HTT160er ,1,0,0
39,L1_HTT200er ,1,0,0
40,L1_HTT255er ,1,0,0
41,L1_HTT280er ,1,0,0
42,L1_HTT320er ,1,0,0
43,L1_HTT360er ,1,0,0
44,L1_HTT400er ,1,0,0
45,L1_HTT450er ,1,0,0
46,L1_HCAL_LaserMon_Trig ,1,0,0
47,L1_HCAL_LaserMon_Veto ,1,0,0
48,L1_SingleEG3 ,1,0,0
49,L1_SingleEG5 ,1,0,0
50,L1_SingleEG8er2p5 ,1,0,0
51,L1_SingleEG10er2p5 ,1,0,0
52,L1_SingleEG15er2p5 ,1,0,0
53,L1_SingleEG26er2p5 ,1,0,0
54,L1_SingleEG34er2p5 ,1,0,0
55,L1_SingleEG36er2p5 ,1,0,0
56,L1_SingleEG38er2p5 ,1,0,0
57,L1_SingleEG40er2p5 ,1,0,0
58,L1_SingleEG42er2p5 ,1,0,0
59,L1_SingleEG45er2p5 ,1,0,0
60,L1_SingleEG50 ,1,0,0
61,L1_SingleEG60 ,1,0,0
62,L1_DoubleEG_22_10_er2p5 ,1,0,0
63,L1_DoubleEG_25_12_er2p5 ,1,0,0
64,L1_DoubleEG_25_14_er2p5 ,1,0,0
65,L1_TripleEG_18_17_8_er2p5 ,1,0,0
66,L1_MinimumBiasHF1_AND_BptxAND_copy ,1,0,0
67,L1_ZDC1n_OR_MinimumBiasHF1_AND_BptxAND_copy ,1,0,0
68,L1_ZDC2n_OR_MinimumBiasHF1_AND_BptxAND_copy ,1,0,0
69,L1_SingleIsoEG30er2p5 ,1,0,0
70,L1_SingleIsoEG32er2p1 ,1,0,0
71,L1_SingleIsoEG32er2p5 ,1,0,0
72,L1_SingleIsoEG34er2p5 ,1,0,0
76,L1_SingleJet8erHE ,1,0,0
77,L1_SingleJet10erHE ,1,0,0
78,L1_SingleJet12erHE ,1,0,0
79,L1_SingleJet35 ,1,0,0
80,L1_SingleJet35er2p5 ,1,0,0
81,L1_SingleJet35_FWD3p0 ,1,0,0
82,L1_SingleJet60 ,1,0,0
83,L1_SingleJet90 ,1,0,0
84,L1_SingleJet120 ,1,0,0
85,L1_SingleJet120er2p5 ,1,0,0
86,L1_SingleJet120_FWD3p0 ,1,0,0
87,L1_SingleJet140er2p5 ,1,0,0
88,L1_SingleJet160er2p5 ,1,0,0
89,L1_SingleJet180 ,1,0,0
90,L1_SingleJet200 ,1,0,0
91,L1_DoubleJet40er2p5 ,1,0,0
92,L1_DoubleJet100er2p5 ,1,0,0
93,L1_DoubleJet120er2p5 ,1,0,0
94,L1_QuadJet60er2p5 ,1,0,0
95,L1_SingleMuOpen ,1,0,0
96,L1_SingleMuOpen_NotBptxOR ,1,0,0
97,L1_SingleMuOpen_er1p4_NotBptxOR_3BX ,1,0,0
98,L1_SingleMuOpen_er1p1_NotBptxOR_3BX ,1,0,0
99,L1_SingleMuCosmics ,1,0,0
100,L1_SingleMuCosmics_BMTF ,1,0,0
101,L1_SingleMuCosmics_EMTF ,1,0,0
102,L1_SingleMuCosmics_OMTF ,1,0,0
103,L1_SingleMu0_DQ ,1,0,0
104,L1_SingleMu0_BMTF ,1,0,0
105,L1_SingleMu0_EMTF ,1,0,0
106,L1_SingleMu0_OMTF ,1,0,0
107,L1_SingleMu3 ,1,0,0
108,L1_SingleMu5 ,1,0,0
109,L1_SingleMu7 ,1,0,0
110,L1_SingleMu18 ,1,0,0
111,L1_SingleMu20 ,1,0,0
112,L1_SingleMu22 ,1,0,0
113,L1_SingleMu22_BMTF ,1,0,0
114,L1_SingleMu22_EMTF ,1,0,0
115,L1_SingleMu22_OMTF ,1,0,0
116,L1_SingleMu25 ,1,0,0
117,L1_DoubleMu0 ,1,0,0
118,L1_DoubleMu0_SQ ,1,0,0
119,L1_DoubleMu0_SQ_OS ,1,0,0
120,L1_DoubleMu_12_5 ,1,0,0
121,L1_DoubleMu_15_7 ,1,0,0
122,L1_TripleMu_5_3_3 ,1,0,0
123,L1_TripleMu_5_5_3 ,1,0,0
124,L1_SingleMuOpen_Centrality_30_100_BptxAND ,1,1,1
125,L1_SingleMu0_Centrality_40_100_BptxAND ,1,1,1
126,L1_SingleMu0_Centrality_30_100_BptxAND ,1,1,1
127,L1_SingleJet28_BptxAND ,1,0,0
128,L1_SingleJet28_DMeson_BptxAND ,1,0,0
129,L1_SingleJet32_BptxAND ,1,0,0
130,L1_SingleJet36_BptxAND ,1,0,0
131,L1_SingleJet40_BptxAND ,1,0,0
132,L1_SingleJet44_BptxAND ,1,0,0
133,L1_SingleJet44_DMeson_BptxAND ,1,0,0
134,L1_SingleJet48_BptxAND ,1,0,0
135,L1_SingleJet56_BptxAND ,1,0,0
136,L1_SingleJet60_BptxAND ,1,1,1
137,L1_SingleJet60_DMeson_BptxAND ,1,0,0
138,L1_SingleJet64_BptxAND ,1,0,0
139,L1_SingleJet72_BptxAND ,1,0,0
140,L1_SingleJet80_BptxAND ,1,1,1
141,L1_SingleJet8_FWD_BptxAND ,1,0,0
142,L1_SingleJet16_FWD_BptxAND ,1,0,0
143,L1_SingleJet28_FWD_BptxAND ,1,1,1
144,L1_SingleJet36_FWD_BptxAND ,1,0,0
145,L1_SingleJet44_FWD_BptxAND ,1,1,1
146,L1_SingleJet56_FWD_BptxAND ,1,0,0
147,L1_SingleJet64_FWD_BptxAND ,1,1,1
148,L1_SingleJet8_Centrality_30_100_BptxAND ,1,0,0
149,L1_SingleJet16_Centrality_30_100_BptxAND ,1,0,0
150,L1_SingleJet24_Centrality_30_100_BptxAND ,1,0,0
151,L1_SingleJet28_Centrality_30_100_BptxAND ,1,0,0
152,L1_SingleJet32_Centrality_30_100_BptxAND ,1,0,0
153,L1_SingleJet36_Centrality_30_100_BptxAND ,1,0,0
154,L1_SingleJet40_Centrality_30_100_BptxAND ,1,0,0
155,L1_SingleJet44_Centrality_30_100_BptxAND ,1,0,0
156,L1_SingleJet48_Centrality_30_100_BptxAND ,1,0,0
157,L1_SingleJet56_Centrality_30_100_BptxAND ,1,0,0
158,L1_SingleJet60_Centrality_30_100_BptxAND ,1,0,0
159,L1_SingleJet64_Centrality_30_100_BptxAND ,1,0,0
160,L1_SingleJet8_Centrality_50_100_BptxAND ,1,0,0
161,L1_SingleJet16_Centrality_50_100_BptxAND ,1,0,0
162,L1_SingleJet24_Centrality_50_100_BptxAND ,1,0,0
163,L1_SingleJet28_Centrality_50_100_BptxAND ,1,0,0
164,L1_SingleJet32_Centrality_50_100_BptxAND ,1,0,0
165,L1_SingleJet36_Centrality_50_100_BptxAND ,1,0,0
166,L1_SingleJet40_Centrality_50_100_BptxAND ,1,0,0
167,L1_SingleJet44_Centrality_50_100_BptxAND ,1,0,0
168,L1_SingleJet48_Centrality_50_100_BptxAND ,1,0,0
169,L1_SingleJet56_Centrality_50_100_BptxAND ,1,0,0
170,L1_SingleJet60_Centrality_50_100_BptxAND ,1,0,0
171,L1_SingleJet64_Centrality_50_100_BptxAND ,1,0,0
172,L1_SingleJet8_BptxAND ,1,0,0
173,L1_SingleJet16_BptxAND ,1,0,0
174,L1_SingleJet24_BptxAND ,1,0,0
175,L1_DoubleMu0_SQ_BptxAND ,1,0,0
176,L1_SingleEG3_BptxAND ,1,0,0
177,L1_SingleEG4_BptxAND ,1,0,0
178,L1_SingleEG5_BptxAND ,1,0,0
179,L1_SingleEG7_BptxAND ,1,1,1
180,L1_SingleEG12_BptxAND ,1,0,0
181,L1_SingleEG15_BptxAND ,1,1,1
182,L1_SingleEG21_BptxAND ,1,1,1
183,L1_SingleEG30_BptxAND ,1,1,1
184,L1_DoubleEG2_BptxAND ,1,0,0
185,L1_DoubleEG5_BptxAND ,1,1,1
186,L1_DoubleEG8_BptxAND ,1,0,0
187,L1_DoubleEG10_BptxAND ,1,0,0
188,L1_SingleEG3_Centrality_30_100_BptxAND ,1,0,0
189,L1_SingleEG7_Centrality_30_100_BptxAND ,1,0,0
190,L1_SingleEG15_Centrality_30_100_BptxAND ,1,0,0
191,L1_SingleEG21_Centrality_30_100_BptxAND ,1,0,0
192,L1_SingleMuOpen_BptxAND ,1,1,1
193,L1_SingleMu3Open_BptxAND ,1,0,0
194,L1_SingleMu0_BptxAND ,1,1,1
195,L1_SingleMu3_BptxAND ,1,1,1
196,L1_SingleMu5_BptxAND ,1,1,1
197,L1_SingleMu7_BptxAND ,1,1,1
198,L1_DoubleMuOpen_BptxAND ,1,1,1
199,L1_DoubleMuOpen_OS_BptxAND ,1,1,1
200,L1_DoubleMuOpen_SS_BptxAND ,1,1,1
201,L1_DoubleMuOpen_MaxDr3p5_BptxAND ,1,1,1
202,L1_DoubleMuOpen_MaxDr3p5M0to7_BptxAND ,1,1,1
203,L1_DoubleMuSQ_BptxAND ,1,1,1
204,L1_DoubleMuSQ_MaxDr3p5_BptxAND ,1,1,1
205,L1_DoubleMuSQ_MaxDr3p5M0to7_BptxAND ,1,1,1
206,L1_DoubleMu0_BptxAND ,1,1,1
207,L1_DoubleMu0_MaxDr3p5_BptxAND ,1,0,0
208,L1_DoubleMu0_MaxDr3p5M0to7_BptxAND ,1,0,0
209,L1_DoubleMu10_BptxAND ,1,0,0
210,L1_DoubleMuOpen_Centrality_30_100_BptxAND ,1,0,0
211,L1_DoubleMuOpen_Centrality_40_100_BptxAND ,1,1,1
212,L1_DoubleMuOpen_Centrality_50_100_BptxAND ,1,0,0
213,L1_SingleMuOpen_SingleJet28_MidEta2p7_BptxAND ,1,1,1
214,L1_SingleMuOpen_SingleJet44_MidEta2p7_BptxAND ,1,1,1
215,L1_SingleMuOpen_SingleJet56_MidEta2p7_BptxAND ,1,0,0
216,L1_SingleMuOpen_SingleJet64_MidEta2p7_BptxAND ,1,1,1
217,L1_SingleMu3_SingleJet28_MidEta2p7_BptxAND ,1,0,0
218,L1_SingleMu3_SingleJet32_MidEta2p7_BptxAND ,1,1,1
219,L1_SingleMu3_SingleJet40_MidEta2p7_BptxAND ,1,1,1
220,L1_SingleMuOpen_SingleEG15_BptxAND ,1,0,0
221,L1_SingleMu3_SingleEG12_BptxAND ,1,1,1
222,L1_SingleMu3_SingleEG20_BptxAND ,1,0,0
223,L1_SingleMu3_SingleEG30_BptxAND ,1,0,0
224,L1_SingleMu5_SingleEG10_BptxAND ,1,0,0
225,L1_SingleMu5_SingleEG12_BptxAND ,1,0,0
226,L1_SingleMu5_SingleEG15_BptxAND ,1,1,1
227,L1_SingleMu5_SingleEG20_BptxAND ,1,0,0
228,L1_SingleMu7_SingleEG7_BptxAND ,1,0,0
229,L1_SingleMu7_SingleEG10_BptxAND ,1,0,0
230,L1_SingleMu7_SingleEG12_BptxAND ,1,0,0
231,L1_SingleMu7_SingleEG15_BptxAND ,1,0,0
232,L1_SingleMu12_SingleEG7_BptxAND ,1,0,0
233,L1_SingleMuCosmic_BptxAND ,1,719,719
234,L1_SingleMuCosmic_NotMinimumBiasHF2_OR_BptxAND ,1,1,1
235,L1_SingleMuCosmic_NotMinimumBiasHF2_AND_BptxAND ,1,1,1
236,L1_DoubleMuCosmic_BptxAND ,1,233,233
237,L1_DoubleMuCosmic_NotMinimumBiasHF2_AND_BptxAND ,1,1,1
238,L1_SingleMuOpen_NotMinimumBiasHF2_OR_BptxAND ,1,1,1
239,L1_SingleMuOpen_NotMinimumBiasHF2_AND_BptxAND ,1,1,1
240,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_BptxAND ,1,677,677
241,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMinimumBiasHF2_OR_BptxAND ,1,1,1
242,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_NotMinimumBiasHF2_AND_BptxAND ,1,1,1
243,L1_DoubleMuOpen_NotMinimumBiasHF2_AND_BptxAND ,1,1,1
244,L1_DoubleMu0_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
245,L1_SingleEG3_NotMinimumBiasHF2_OR_BptxAND ,1,0,0
246,L1_SingleEG4_NotMinimumBiasHF2_OR_BptxAND ,1,0,0
247,L1_SingleEG2_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
248,L1_SingleEG3_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
249,L1_SingleEG4_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
250,L1_SingleEG5_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
251,L1_DoubleEG1_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
252,L1_DoubleEG2_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
253,L1_DoubleEG3_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
254,L1_DoubleEG5_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
255,L1_SingleMuShower_Tight ,1,0,0
256,L1_SingleMuShower_Nominal ,1,0,0
257,L1_SingleMuShower_Tight_BptxAND ,1,53,53
258,L1_SingleMuShower_Nominal_BptxAND ,1,53,53
259,L1_Centrality_Saturation_BptxAND ,1,0,0
260,L1_Centrality_0_0p5_BptxAND ,1,1,1
261,L1_Centrality_0_1_BptxAND ,1,1,1
262,L1_Centrality_30_40_BptxAND ,1,0,0
263,L1_Centrality_40_50_BptxAND ,1,0,0
264,L1_Centrality_30_50_BptxAND ,1,1,1
265,L1_Centrality_50_65_BptxAND ,1,0,0
266,L1_Centrality_65_80_BptxAND ,1,0,0
267,L1_Centrality_80_100_BptxAND ,1,0,0
268,L1_Centrality_30_100_MinimumBiasHF1_AND_BptxAND ,1,0,0
269,L1_Centrality_50_100_MinimumBiasHF1_AND_BptxAND ,1,71,71
270,L1_MinimumBiasHF1_AND_BptxAND ,1,1,1
271,L1_MinimumBiasHF1_OR_BptxAND ,1,0,0
272,L1_ZDC1n_OR_MinimumBiasHF1_AND_BptxAND ,1,1,1
273,L1_ZDC1n_Bkp1_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
274,L1_ZDC1n_Bkp2_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
275,L1_ZDC1n_Bkp3_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
276,L1_ZDC2n_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
277,L1_ZDC2n_Bkp1_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
278,L1_ZDC2n_Bkp2_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
279,L1_ZDC2n_Bkp3_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
280,L1_ZDC3n_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
281,L1_ZDC3n_Bkp1_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
282,L1_ZDC3n_Bkp2_OR_MinimumBiasHF1_AND_BptxAND ,1,0,0
